Name,ColorGroup,Hex,R,G,B
bold dolphin,red,#C37D51,195,125,81
muted cauliflower,red,#EC2155,236,33,85
shaded garlic,red,#A39E2B,163,158,43
dark wood,blue,#C2C7DE,194,199,222
glowing mud,red,#C4BC4C,196,188,76
soft shadow,blue,#C94DCB,201,77,203
bold broccoli,blue,#DD82F7,221,130,247
dark snow,red,#D54C24,213,76,36
warm shadow,red,#8C882E,140,136,46
muted shadow,blue,#6FCAD3,111,202,211
fresh ash,green,#70B879,112,184,121
soft elephant,red,#D89CA4,216,156,164
shiny silhouette,green,#53945E,83,148,94
raw silhouette,red,#F7CAA2,247,202,162
cool coffee,green,#8AF263,138,242,99
warm beaver,red,#BF5359,191,83,89
frosted weed,blue,#2888A0,40,136,160
earthy soil,red,#E4C30D,228,195,13
matte coal,red,#DFD6AD,223,214,173
frosted silhouette,blue,#5C8EBF,92,142,191
misty sky,red,#B98987,185,137,135
smooth clover,red,#DB3571,219,53,113
cool coffee,red,#DE8F5D,222,143,93
dusty clover,red,#810163,129,1,99
ripe vinyl,green,#6AD20E,106,210,14
smooth elephant,green,#3A8352,58,131,82
deep strawberry,green,#C9D915,201,217,21
glowing spinach,red,#544650,84,70,80
muted mud,blue,#7837DD,120,55,221
faded gorilla,red,#887E5C,136,126,92
bold elephant,green,#D5E165,213,225,101
cool mustard,blue,#4C5EF6,76,94,246
bright crow,green,#1CE58C,28,229,140
dark cloud,red,#E73C1E,231,60,30
dense crow,green,#7DFF23,125,255,35
smooth cardboard,blue,#D0D1FC,208,209,252
earthy corn,red,#F22625,242,38,37
faded snow,blue,#2B3E6F,43,62,111
misty silhouette,red,#8F000A,143,0,10
dense mud,green,#25B53E,37,181,62
raw pig,blue,#AF69B5,175,105,181
soft silhouette,blue,#4021F6,64,33,246
deep sea,red,#9A6292,154,98,146
muted blood,red,#897B4E,137,123,78
vivid spinach,red,#EF0C8B,239,12,139
vivid mud,green,#8FB945,143,185,69
shiny cockroach,green,#4FEE88,79,238,136
bright mustard,green,#84A286,132,162,134
bold vinyl,green,#0BBE4F,11,190,79
soft fog,red,#92457F,146,69,127
rich flour,green,#AFE84B,175,232,75
soft violin,red,#DB3F18,219,63,24
dusty clover,blue,#3E9CC4,62,156,196
glowing cherry,red,#943866,148,56,102
muted beaver,green,#88EB02,136,235,2
muted pig,blue,#0106A2,1,6,162
warm salad,blue,#2CA1EB,44,161,235
cool swan,red,#DF508F,223,80,143
bright mustard,red,#F8ABC2,248,171,194
pale vinyl,red,#B7620E,183,98,14
faded spinach,blue,#004295,0,66,149
raw silhouette,red,#FDDF68,253,223,104
dense violin,green,#03571E,3,87,30
vivid cherry,red,#59453E,89,69,62
dark mud,red,#8D6F4A,141,111,74
dark crow,green,#31D6CE,49,214,206
soft pig,green,#61AF70,97,175,112
matte ash,green,#2DAA85,45,170,133
fresh snow,green,#264538,38,69,56
frosted parsley,red,#D29441,210,148,65
deep froth,green,#2CC6AF,44,198,175
glowing garlic,red,#843253,132,50,83
fresh gold,green,#3FC9B6,63,201,182
fresh garlic,blue,#4E6E8F,78,110,143
raw mud,blue,#191AD4,25,26,212
shiny wood,red,#F8EB7E,248,235,126
matte parsley,red,#584B3A,88,75,58
matte gold,red,#E74BBE,231,75,190
ripe swan,green,#3F423B,63,66,59
muted silhouette,red,#E3142B,227,20,43
rich coal,red,#993B0E,153,59,14
warm coffee,green,#51554A,81,85,74
shaded silhouette,blue,#B373FA,179,115,250
soft fog,blue,#4F76F8,79,118,248
muted banana,blue,#9DCEE7,157,206,231
fresh cloud,blue,#9F40AA,159,64,170
matte beaver,blue,#A45BE4,164,91,228
fresh flour,blue,#A1ACF4,161,172,244
fresh flour,green,#32B63C,50,182,60
dense silhouette,green,#1EE868,30,232,104
ripe spinach,green,#2DCD64,45,205,100
misty spinach,red,#767659,118,118,89
smooth broccoli,blue,#B82CEE,184,44,238
misty strawberry,blue,#1632FE,22,50,254
warm cloud,blue,#B983F8,185,131,248
matte pig,blue,#555972,85,89,114
shiny weed,red,#D386AE,211,134,174
dense froth,red,#FD2B0F,253,43,15
raw snow,blue,#C967FC,201,103,252
shiny banana,green,#628169,98,129,105
ripe beaver,red,#DC4E5D,220,78,93
matte sky,blue,#BFCBCC,191,203,204
glowing grass,red,#CB9D25,203,157,37
deep blood,red,#B65156,182,81,86
smooth carrot,red,#D12C51,209,44,81
shaded cotton,blue,#3D508C,61,80,140
deep elephant,green,#C2D23C,194,210,60
misty cotton,green,#B6E6DB,182,230,219
misty coal,blue,#5B57A8,91,87,168
deep snow,red,#9B1F60,155,31,96
warm gorilla,red,#DD5929,221,89,41
dusty cello,blue,#474FB5,71,79,181
dusty mud,red,#9D985E,157,152,94
rich cello,red,#825A3D,130,90,61
pale salad,green,#447553,68,117,83
deep mud,red,#E9B949,233,185,73
fresh foam,blue,#4A0053,74,0,83
shiny strawberry,green,#0ACCAF,10,204,175
dusty weed,green,#2AA201,42,162,1
dark vinyl,red,#E25921,226,89,33
shaded cockroach,blue,#4F3FAF,79,63,175
earthy forest,green,#66D247,102,210,71
shaded vinyl,green,#37631F,55,99,31
deep carrot,red,#CCA722,204,167,34
misty slate,red,#B5AEAE,181,174,174
fresh banana,red,#FAB235,250,178,53
faded deer,red,#B770B7,183,112,183
misty swan,green,#3ECE63,62,206,99
dark vinyl,green,#5DB65F,93,182,95
dark forest,green,#9DC187,157,193,135
shiny forest,blue,#6386AF,99,134,175
fresh lettuce,red,#93105F,147,16,95
soft mustard,red,#877260,135,114,96
dense shadow,red,#6C0422,108,4,34
pale mustard,blue,#8A19FC,138,25,252
glowing weed,blue,#6964CF,105,100,207
fresh fog,green,#446947,68,105,71
dense cardboard,blue,#6B3380,107,51,128
bright wood,red,#DA381F,218,56,31
soft dolphin,green,#03BB3C,3,187,60
glowing shadow,green,#82F7B0,130,247,176
misty gold,blue,#9A73AF,154,115,175
vivid elephant,green,#54CE8D,84,206,141
fresh clover,red,#E627CC,230,39,204
soft beaver,red,#E3674B,227,103,75
faded sky,green,#11BC72,17,188,114
fresh blood,blue,#7213AA,114,19,170
raw carrot,red,#915A63,145,90,99
glowing chalk,red,#FCA27C,252,162,124
foggy cardboard,blue,#8696B4,134,150,180
ripe flour,blue,#2679C6,38,121,198
smooth mud,blue,#1782A0,23,130,160
vivid clover,green,#74BB2E,116,187,46
bold coffee,red,#8B5C11,139,92,17
foggy cherry,green,#6E820F,110,130,15
frosted cello,red,#B1246F,177,36,111
bright cauliflower,green,#409C15,64,156,21
foggy swan,red,#F29188,242,145,136
deep soil,blue,#344980,52,73,128
cool crow,blue,#2766D3,39,102,211
shiny chalk,blue,#3C6BFC,60,107,252
earthy shadow,green,#C1C9A5,193,201,165
dusty vinyl,red,#B8379D,184,55,157
soft grass,blue,#BC60EF,188,96,239
matte sea,blue,#38C5F5,56,197,245
dusty banana,red,#D42540,212,37,64
dense garlic,green,#D6EFE7,214,239,231
dense coal,green,#3AE181,58,225,129
vivid tin,blue,#DE41F7,222,65,247
raw corn,blue,#4297CC,66,151,204
foggy coal,green,#58DDCD,88,221,205
deep swan,green,#144F1B,20,79,27
deep foam,blue,#8DE1EF,141,225,239
pale blood,red,#9C1575,156,21,117
frosted swan,green,#8CC859,140,200,89
frosted cherry,blue,#1C8A9C,28,138,156
dark clover,red,#C9A058,201,160,88
frosted mud,blue,#6F15FA,111,21,250
rich wood,red,#9A3390,154,51,144
fresh cello,green,#005448,0,84,72
misty sky,green,#09C174,9,193,116
warm pig,red,#FE6F6D,254,111,109
faded broccoli,blue,#B486B9,180,134,185
cool mustard,blue,#AB85C0,171,133,192
misty cauliflower,red,#D0CE0C,208,206,12
warm grass,green,#BCFDB8,188,253,184
dense ash,green,#B5D74D,181,215,77
glowing soil,red,#F589E6,245,137,230
cool strawberry,red,#E71A76,231,26,118
misty strawberry,blue,#3ABDCC,58,189,204
faded snow,red,#EFDE69,239,222,105
glowing garlic,blue,#267AAF,38,122,175
foggy corn,red,#CF413D,207,65,61
cool cauliflower,green,#E3FBAF,227,251,175
pale elephant,red,#5F564B,95,86,75
smooth cherry,green,#14C060,20,192,96
bright tin,blue,#274F76,39,79,118
bold silhouette,blue,#25234C,37,35,76
soft lettuce,red,#E2DF59,226,223,89
shaded gorilla,green,#7A9D0D,122,157,13
shaded carrot,blue,#0C3AC2,12,58,194
smooth sea,blue,#1E4DBB,30,77,187
faded snow,red,#B7AB82,183,171,130
dark cloud,green,#6DC37D,109,195,125
earthy snow,green,#59D6A9,89,214,169
earthy ash,red,#BF1F20,191,31,32
frosted corn,red,#F731E3,247,49,227
shaded mustard,red,#C1450C,193,69,12
dark weed,red,#661B2F,102,27,47
frosted violin,green,#B0F525,176,245,37
pale lettuce,red,#BFB95C,191,185,92
ripe gorilla,blue,#0116F7,1,22,247
fresh cherry,blue,#3060E1,48,96,225
shaded cockroach,blue,#7E36EC,126,54,236
glowing cardboard,blue,#E486F4,228,134,244
smooth cockroach,green,#A9B283,169,178,131
pale weed,green,#00BE64,0,190,100
ripe mud,red,#8F6E0F,143,110,15
bright corn,red,#B7AFAD,183,175,173
glowing slate,blue,#0F29E5,15,41,229
shiny blood,red,#94492C,148,73,44
bright deer,green,#648803,100,136,3
matte gorilla,green,#4A6E14,74,110,20
fresh beaver,red,#C39E32,195,158,50
shiny wood,green,#017B11,1,123,17
matte broccoli,green,#95E154,149,225,84
bright cockroach,red,#FB69F2,251,105,242
cool coffee,blue,#1719CA,23,25,202
warm cello,red,#B6AD64,182,173,100
ripe grass,blue,#2848AB,40,72,171
matte cardboard,blue,#6267ED,98,103,237
bold pig,red,#C65F77,198,95,119
ripe salad,blue,#3E1386,62,19,134
vivid violin,green,#4ED830,78,216,48
raw cockroach,red,#F370F3,243,112,243
vivid snow,green,#0AFA4F,10,250,79
shiny blood,red,#E41916,228,25,22
bold cardboard,red,#FBECCA,251,236,202
ripe cockroach,blue,#2B0774,43,7,116
soft cardboard,blue,#493EEC,73,62,236
dense soil,green,#24EC9A,36,236,154
smooth blood,blue,#C722D7,199,34,215
dense tin,blue,#4C1594,76,21,148
muted sky,blue,#3A5E70,58,94,112
deep strawberry,red,#C6937D,198,147,125
vivid flour,blue,#53A5DB,83,165,219
ripe foam,red,#CC9715,204,151,21
fresh salad,red,#E00222,224,2,34
dark coal,blue,#8776C8,135,118,200
raw cherry,blue,#638AE8,99,138,232
frosted ash,red,#9A0E91,154,14,145
soft snow,green,#B0BF1A,176,191,26
dark silhouette,blue,#DCB6F4,220,182,244
warm coffee,green,#CCD86F,204,216,111
rich cloud,red,#5C4B42,92,75,66
frosted snow,blue,#414AB5,65,74,181
pale lettuce,red,#EA4647,234,70,71
ripe spinach,red,#EB2A7B,235,42,123
dusty mud,green,#003B0C,0,59,12
foggy weed,green,#24CEC8,36,206,200
smooth carrot,green,#BFC4B2,191,196,178
pale elephant,green,#9EF77D,158,247,125
warm garlic,blue,#BB34FD,187,52,253
frosted cockroach,red,#FF245F,255,36,95
smooth sky,green,#69F1B4,105,241,180
shiny broccoli,blue,#1338ED,19,56,237
dark gorilla,green,#0B602E,11,96,46
dense mustard,red,#610F39,97,15,57
muted forest,green,#A0A84C,160,168,76
cool mud,green,#3F8612,63,134,18
faded gold,green,#20DDC5,32,221,197
faded lettuce,green,#4A6623,74,102,35
matte beaver,green,#506F26,80,111,38
deep coal,blue,#8D5CDC,141,92,220
bold shadow,green,#A6EF09,166,239,9
shiny pig,red,#D40FB0,212,15,176
shiny garlic,green,#92D58A,146,213,138
misty violin,green,#46B096,70,176,150
vivid corn,green,#3D6416,61,100,22
fresh flour,blue,#6516B7,101,22,183
ripe cockroach,green,#929F2C,146,159,44
dense salad,red,#80017D,128,1,125
earthy elephant,green,#A5B730,165,183,48
glowing foam,red,#FE9D90,254,157,144
shaded ash,blue,#06525D,6,82,93
shiny swan,green,#26F265,38,242,101
bright clover,red,#BFBE14,191,190,20
deep fog,green,#A3C093,163,192,147
dense sea,green,#30B82E,48,184,46
dense tin,green,#73EC01,115,236,1
deep lettuce,green,#23BF2B,35,191,43
earthy soil,red,#DA902F,218,144,47
muted soil,green,#164432,22,68,50
raw cotton,red,#FDB6E2,253,182,226
bright corn,green,#064422,6,68,34
raw dolphin,blue,#4474BE,68,116,190
ripe sky,blue,#6533E5,101,51,229
dark silhouette,green,#2AB031,42,176,49
faded cauliflower,green,#3AFC6A,58,252,106
dark cardboard,blue,#E26DFE,226,109,254
deep froth,green,#34DB2C,52,219,44
earthy gold,green,#198E50,25,142,80
rich deer,blue,#9033A0,144,51,160
faded cauliflower,red,#DC0159,220,1,89
dense carrot,green,#A1D845,161,216,69
vivid cherry,red,#8F410F,143,65,15
shiny flour,green,#06D145,6,209,69
dusty lettuce,blue,#2B79E7,43,121,231
dark tin,red,#C695BB,198,149,187
dark gold,green,#2DCD96,45,205,150
misty fog,green,#A3C61C,163,198,28
pale cello,red,#D33E38,211,62,56
dusty vinyl,blue,#1592C9,21,146,201
shaded tin,blue,#9429CE,148,41,206
matte broccoli,red,#B19B64,177,155,100
glowing parsley,red,#F0ABD1,240,171,209
dark coal,red,#782C3C,120,44,60
glowing elephant,blue,#35CEE6,53,206,230
matte weed,red,#95240C,149,36,12
vivid flour,green,#77D91F,119,217,31
deep sea,blue,#4E2763,78,39,99
vivid wood,blue,#9D50B5,157,80,181
ripe cotton,red,#F4AC8B,244,172,139
rich snow,green,#5A6D2E,90,109,46
dusty gorilla,blue,#81E8F4,129,232,244
muted cardboard,green,#D6DB71,214,219,113
foggy broccoli,green,#96D813,150,216,19
bright spinach,green,#17FC2C,23,252,44
dusty crow,green,#47D4B9,71,212,185
rich garlic,red,#EAAED1,234,174,209
fresh banana,blue,#AD93D6,173,147,214
soft blood,blue,#399EC1,57,158,193
soft gold,green,#B0FC34,176,252,52
raw clover,blue,#9558CD,149,88,205
matte grass,green,#75EDD3,117,237,211
foggy mud,green,#67F167,103,241,103
matte sea,red,#F585E6,245,133,230
faded tin,blue,#9162C8,145,98,200
frosted crow,green,#3CD4CC,60,212,204
bold tin,blue,#3336E8,51,54,232
bold fog,blue,#505764,80,87,100
soft mustard,green,#47B468,71,180,104
ripe cotton,green,#80EA80,128,234,128
deep cotton,red,#642A50,100,42,80
bold cauliflower,red,#B520B1,181,32,177
dusty cello,red,#BFA37C,191,163,124
smooth salad,green,#09C26A,9,194,106
cool swan,green,#2CF70A,44,247,10
soft froth,green,#67EECB,103,238,203
warm cauliflower,green,#5BCE5F,91,206,95
foggy silhouette,blue,#C60ADD,198,10,221
misty salad,red,#99503A,153,80,58
vivid beaver,blue,#D102DC,209,2,220
smooth lettuce,blue,#5314EC,83,20,236
fresh garlic,blue,#4204F0,66,4,240
dense clover,green,#7F9351,127,147,81
faded beaver,green,#20D5A3,32,213,163
foggy crow,blue,#5979AB,89,121,171
foggy violin,blue,#C3C1D2,195,193,210
faded banana,red,#D2AC87,210,172,135
smooth mustard,red,#5E322D,94,50,45
ripe clover,green,#D2E116,210,225,22
faded pig,blue,#05CCD9,5,204,217
shiny broccoli,green,#328728,50,135,40
fresh cloud,red,#DEA501,222,165,1
rich pig,red,#DCC526,220,197,38
faded elephant,red,#664531,102,69,49
dense cockroach,red,#C2AC7A,194,172,122
dark soil,blue,#134178,19,65,120
raw silhouette,green,#B2BA20,178,186,32
warm carrot,green,#15503F,21,80,63
muted fog,blue,#0DAAAD,13,170,173
dusty corn,green,#30A338,48,163,56
smooth shadow,red,#A5A291,165,162,145
misty mud,blue,#5321B0,83,33,176
dark lettuce,blue,#474AE8,71,74,232
bold chalk,green,#53FA19,83,250,25
pale carrot,green,#40A100,64,161,0
ripe cherry,green,#A4F151,164,241,81
soft beaver,green,#67D140,103,209,64
foggy grass,red,#F6827C,246,130,124
smooth cauliflower,green,#23B990,35,185,144
muted coal,blue,#51A3B6,81,163,182
earthy forest,blue,#606B77,96,107,119
ripe swan,red,#FADCD7,250,220,215
shaded salad,green,#CAE1C8,202,225,200
misty banana,blue,#7E41F4,126,65,244
vivid slate,red,#F4326B,244,50,107
ripe cloud,blue,#8B3BD0,139,59,208
foggy dolphin,blue,#AA5EF3,170,94,243
raw dolphin,red,#7B051F,123,5,31
soft sky,green,#70B292,112,178,146
misty weed,red,#BB3F18,187,63,24
bright mud,red,#A69C86,166,156,134
dense dolphin,red,#945112,148,81,18
glowing deer,blue,#3F4C51,63,76,81
glowing gorilla,green,#56F02C,86,240,44
muted carrot,green,#95F375,149,243,117
bright strawberry,red,#6C1531,108,21,49
bold foam,blue,#5078FC,80,120,252
rich cherry,red,#E995DC,233,149,220
misty dolphin,green,#01D9C1,1,217,193
misty sea,blue,#101880,16,24,128
rich cauliflower,blue,#504EDC,80,78,220
frosted elephant,blue,#055875,5,88,117
raw foam,blue,#9EACBC,158,172,188
shaded cloud,blue,#2933C2,41,51,194
dark salad,green,#8CD482,140,212,130
vivid parsley,green,#B1F40A,177,244,10
shaded lettuce,red,#E42C1D,228,44,29
shaded cockroach,green,#32801B,50,128,27
frosted corn,red,#D50232,213,2,50
vivid cherry,green,#1E3C25,30,60,37
deep clover,green,#36F594,54,245,148
dusty weed,blue,#3E5BF8,62,91,248
foggy cloud,green,#99E868,153,232,104
fresh cauliflower,green,#19EC8B,25,236,139
fresh gold,blue,#790FC0,121,15,192
muted flour,red,#E066C0,224,102,192
shaded spinach,blue,#606AE8,96,106,232
pale gold,green,#204F21,32,79,33
fresh gold,red,#AC1B11,172,27,17
faded elephant,red,#BD195A,189,25,90
bold violin,green,#8BA39F,139,163,159
muted tin,blue,#1E5D80,30,93,128
raw crow,blue,#4173E2,65,115,226
shiny coal,blue,#80659E,128,101,158
muted dolphin,blue,#625FC6,98,95,198
misty sea,green,#3DA80B,61,168,11
smooth snow,blue,#8B6DD7,139,109,215
matte froth,red,#F60F49,246,15,73
cool mud,green,#DBE108,219,225,8
smooth mud,green,#3CDA96,60,218,150
faded vinyl,blue,#5169AD,81,105,173
earthy grass,red,#C55509,197,85,9
fresh carrot,red,#BA3E34,186,62,52
raw strawberry,green,#45FF1D,69,255,29
deep cherry,green,#53AA29,83,170,41
bold forest,red,#C647B5,198,71,181
dusty cello,blue,#BC9BCA,188,155,202
matte grass,blue,#8E0FE1,142,15,225
dark sea,green,#418E78,65,142,120
muted cauliflower,green,#46F68A,70,246,138
misty foam,blue,#24A2B9,36,162,185
dusty lettuce,green,#6EBFBB,110,191,187
rich mud,green,#558755,85,135,85
misty beaver,blue,#B16BC0,177,107,192
matte cockroach,green,#7EE8BE,126,232,190
bold gorilla,blue,#4BC8D0,75,200,208
vivid cherry,green,#05C7AA,5,199,170
dusty strawberry,blue,#6584C4,101,132,196
bright sea,green,#19E717,25,231,23
bright shadow,green,#60B6A8,96,182,168
bright fog,red,#C93344,201,51,68
smooth flour,green,#3A4D3D,58,77,61
glowing cloud,blue,#824CB4,130,76,180
faded grass,red,#FE8ED5,254,142,213
glowing cardboard,green,#0D9E44,13,158,68
smooth flour,blue,#3E3A72,62,58,114
fresh cloud,red,#CF8C2D,207,140,45
cool crow,blue,#6F6684,111,102,132
matte forest,blue,#15B9F2,21,185,242
pale carrot,red,#8E4554,142,69,84
matte cockroach,red,#ABA706,171,167,6
cool grass,blue,#8022B5,128,34,181
pale cherry,blue,#0B63A9,11,99,169
warm cherry,blue,#45E1F9,69,225,249
bold elephant,blue,#614584,97,69,132
dark wood,blue,#036167,3,97,103
rich carrot,green,#276D5D,39,109,93
muted strawberry,blue,#56279A,86,39,154
earthy flour,green,#CAE44E,202,228,78
earthy gorilla,green,#40EA54,64,234,84
dense lettuce,blue,#676881,103,104,129
pale broccoli,green,#77F470,119,244,112
misty strawberry,green,#9FB9A9,159,185,169
bright vinyl,green,#6FEFA4,111,239,164
earthy cockroach,green,#A7E842,167,232,66
ripe coffee,red,#EF74B4,239,116,180
dusty cardboard,blue,#99A2C2,153,162,194
soft vinyl,green,#17F4C3,23,244,195
soft snow,blue,#A797E6,167,151,230
dark sky,green,#739744,115,151,68
vivid tin,green,#228301,34,131,1
dark forest,blue,#8B5FEF,139,95,239
muted dolphin,red,#F78423,247,132,35
dense vinyl,green,#5F8929,95,137,41
dense sea,blue,#A20EF5,162,14,245
deep chalk,green,#80ED68,128,237,104
glowing elephant,blue,#3106C4,49,6,196
dense silhouette,green,#92E8D7,146,232,215
fresh blood,red,#C5594B,197,89,75
foggy silhouette,green,#8CDB0F,140,219,15
dense garlic,red,#B3647B,179,100,123
misty cardboard,green,#7AC863,122,200,99
bold snow,green,#9DE8C3,157,232,195
dense salad,green,#116653,17,102,83
bold shadow,green,#37924F,55,146,79
faded cotton,red,#CFB796,207,183,150
earthy froth,blue,#594A94,89,74,148
earthy cello,blue,#561CDC,86,28,220
faded vinyl,red,#EF5697,239,86,151
bold sea,red,#E96FB6,233,111,182
fresh weed,blue,#C941D4,201,65,212
matte gorilla,green,#EEF45D,238,244,93
warm salad,blue,#334C8C,51,76,140
shaded sea,red,#BA4E0E,186,78,14
vivid lettuce,green,#6FBA2D,111,186,45
shaded cloud,red,#C64376,198,67,118
dense violin,red,#9F839A,159,131,154
foggy corn,blue,#30F0F9,48,240,249
warm coal,green,#95D712,149,215,18
smooth dolphin,red,#9F940B,159,148,11
faded coal,green,#A4CA56,164,202,86
vivid cockroach,blue,#7537E1,117,55,225
vivid tin,red,#2F1615,47,22,21
bold elephant,red,#E75A11,231,90,17
cool pig,blue,#B721EF,183,33,239
foggy grass,red,#F6CBC8,246,203,200
dusty cardboard,green,#4CE892,76,232,146
smooth beaver,red,#844609,132,70,9
matte shadow,red,#8A542E,138,84,46
rich forest,red,#CE5C5C,206,92,92
foggy carrot,green,#D4EE58,212,238,88
glowing coffee,green,#31EB3A,49,235,58
pale corn,green,#65F9F9,101,249,249
faded froth,green,#03A943,3,169,67
misty cardboard,blue,#3551EF,53,81,239
earthy coal,red,#FEB23D,254,178,61
fresh lettuce,green,#56EDE1,86,237,225
misty corn,red,#432611,67,38,17
bold weed,blue,#9B4EA5,155,78,165
warm fog,red,#975600,151,86,0
shiny chalk,blue,#8189BE,129,137,190
dusty tin,red,#DF782A,223,120,42
misty sea,red,#CF075C,207,7,92
raw elephant,green,#2CA13A,44,161,58
dark lettuce,green,#B7DE95,183,222,149
frosted shadow,green,#66D638,102,214,56
warm strawberry,red,#D770BE,215,112,190
vivid coal,blue,#27188F,39,24,143
shiny blood,red,#E5C48C,229,196,140
ripe weed,red,#CF4564,207,69,100
dusty broccoli,green,#ADECAB,173,236,171
ripe ash,blue,#4233AB,66,51,171
pale tin,green,#0C9B53,12,155,83
vivid parsley,blue,#1D7499,29,116,153
bold mustard,blue,#804FC8,128,79,200
soft vinyl,green,#8FD75F,143,215,95
muted cardboard,green,#BCD676,188,214,118
smooth corn,blue,#704AA0,112,74,160
pale cello,green,#58FB1D,88,251,29
rich coffee,green,#3CD15C,60,209,92
ripe gold,green,#9CBA70,156,186,112
raw sky,green,#8CFF22,140,255,34
dark foam,blue,#321FCB,50,31,203
raw snow,green,#52BE16,82,190,22
misty vinyl,red,#F20677,242,6,119
shaded gorilla,green,#8DCB57,141,203,87
cool silhouette,red,#F7709B,247,112,155
muted flour,blue,#BF64C7,191,100,199
glowing forest,blue,#DA59F3,218,89,243
fresh cotton,green,#7CEC4C,124,236,76
rich sky,red,#DF3153,223,49,83
smooth crow,blue,#992AA8,153,42,168
earthy mustard,green,#97D57F,151,213,127
frosted carrot,red,#B9B108,185,177,8
faded cloud,green,#32BFB8,50,191,184
